Supplier,rows,missing_rate,dup_rate,neg_qty_rate,bad_rrp_rate,extreme_price_rate,score_completeness,score_uniqueness,score_validity,avg_rrp_std,score_consistency,data_health_score
TROPIKAL BRANDS AFRIKA LTD,27,0.0,0.0741,0.0,0.0,0.0,1.0,0.9259259259259259,1.0,20.870254875382106,0.9235752015191547,96.6314
TRUFOODS LIMITED,1328,0.0008,0.0286,0.0,0.0008,0.0,0.9992469879518072,0.9713855421686747,0.9992469879518072,23.902762911405777,0.9087803069721978,97.7319
UNILEVER KENYA LIMITED,1312,0.0,0.032,0.0,0.0,0.0,1.0,0.9679878048780488,1.0,56.99630288362069,0.7473246972068814,95.2495
UPFIELD KENYA SALES LTD,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
URBAN BLAQ LIMITED,110,0.0,0.0545,0.0,0.0,0.0,1.0,0.9454545454545454,1.0,32.08111602904993,0.8688800427334991,96.3968
VIRTUELLE PRODUCTS LTD,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,130.83419267722974,0.38708697315497875,90.8063
VISH TASTY CANDY FOODS,121,0.0083,0.0661,0.0,0.0083,0.0,0.9917355371900827,0.9338842975206612,0.9917355371900827,5.205471675401661,1.0,97.562
VIVEK INVESTMENTS LIMITED,12,0.0,0.1667,0.0,0.0,0.0,1.0,0.8333333333333334,1.0,85.62858130983831,0.6076345348320924,89.1145
WEETABIX EAST AFRICA LIMITED,312,0.0,0.0385,0.0,0.0,0.0,1.0,0.9615384615384616,1.0,61.456091549588045,0.7255664356521261,94.7297
WESTLANDS TRADING LIMITED,33,0.0,0.1212,0.0,0.0,0.0,1.0,0.8787878787878788,1.0,35.785436980608004,0.8508075307416605,94.1257
WINNIES PURE HEALTH PRODUCTS LIMITED,64,0.0156,0.0312,0.0156,0.0,0.0,0.984375,0.96875,0.984375,56.12514185638141,0.7515748872734258,94.4767
WISH KENYA LIMITED,30,0.0,0.0667,0.0,0.0,0.0,1.0,0.9333333333333333,1.0,40.64425911588131,0.8271024786000517,95.4065
WOODLANDS COMPANY LIMITED,17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,58.95626449757641,0.7377625047740526,96.0664
WORLD BRANDS (K) LIMITED,114,0.0,0.0877,0.0,0.0,0.0,1.0,0.9122807017543859,1.0,30.18752785724189,0.8781184147293734,95.5402
YASTECH BRANDS LIMITED,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
ZENKO KENYA LIMITED,168,0.006,0.0476,0.0,0.006,0.0,0.9940476190476191,0.9523809523809523,0.9940476190476191,21.092993680298022,0.9224885111984368,97.0814
