Supplier,rows,missing_rate,dup_rate,neg_qty_rate,bad_rrp_rate,extreme_price_rate,score_completeness,score_uniqueness,score_validity,avg_rrp_std,score_consistency,data_health_score
FINSBURY TRADING LTD,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
FLAME TREE AFRICA LTD,16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,32.32893205193189,0.8676710065555133,98.0151
FLORA FOOD SALES & DISTRIBUTION KENYA LTD,406,0.0,0.0591,0.0,0.0,0.0,1.0,0.9408866995073891,1.0,38.37481290583996,0.8381745736971447,95.7992
FREDDY HIRSCH GROUP KENYA,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
GENERIC BRANDS LIMITED,26,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,41.955071562748564,0.8207073325058409,97.3106
GLACIER PRODUCTS LTD,437,0.0023,0.0275,0.0,0.0023,0.0,0.9977116704805492,0.9725400457665904,0.9977116704805492,31.379483278536725,0.8723031441502873,97.1349
GNOMIS QUALITY PRODUCTS LIMITED,368,0.0,0.0435,0.0,0.0,0.0,1.0,0.9565217391304348,1.0,16.479591770034865,0.944996215697242,97.8706
GODSON ORGANICS LIMITED,52,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,53.4538615642917,0.7646074364892403,96.4691
GOLD CROWN BEVERAGES  KENYA  LTD,17,0.0,0.1176,0.0,0.0,0.0,1.0,0.8823529411764706,1.0,18.383716797775868,0.935706436855769,95.5062
GOLDEN AFRICA KENYA LIMITED,163,0.0,0.0491,0.0,0.0,0.0,1.0,0.950920245398773,1.0,157.9512723413973,0.25478910970764923,87.3494
GREENBELT DISTRIBUTORS LIMITED,157,0.0,0.0382,0.0,0.0,0.0,1.0,0.9617834394904459,1.0,144.73100067074344,0.3192877105113304,88.6428
GREENFOREST FOODS LTD,131,0.0,0.0458,0.0,0.0,0.0,1.0,0.9541984732824428,1.0,25.985269727985134,0.8986202452745509,97.1053
GROUPACO HOLDINGS LIMITED,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
HACO INDUSTRIES KENYA LTD,108,0.0,0.0185,0.0,0.0,0.0,1.0,0.9814814814814815,1.0,55.146938650443744,0.756347310991821,95.7897
HASBAH KENYA LTD,1782,0.0022,0.0393,0.0006,0.0017,0.0,0.9977553310886644,0.9607182940516273,0.9983164983164983,84.31666046651151,0.6140350885323311,92.9226
HAYAT KIMYA KENYA HYGIENIC PRODUCTS LIMITED,87,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,106.78294374382006,0.5044273684533176,92.5664
HEALTHY U TWO THOUSAND LTD,290,0.0,0.0414,0.0,0.0,0.0,1.0,0.9586206896551724,1.0,53.81073166188492,0.7628663510912352,95.2016
HERITAGE SUPERSTORE LIMITED,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
HIGHLANDS DRINKS LIMITED,559,0.0,0.025,0.0,0.0,0.0,1.0,0.9749552772808586,1.0,25.534989650861533,0.9008170560260813,97.7609
HILALIUM AND SONS (UR HOME) LTD--pc,9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,71.4213204337472,0.6769484241824038,95.1542
HOMEBEST HEALTH FOOD LIMITED- FAMILY BANK K LTD,18,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,118.30047924499303,0.4482360175462571,91.7235
HOUSE OF BOOCH LTD,52,0.0,0.0385,0.0,0.0,0.0,1.0,0.9615384615384616,1.0,38.91710001512374,0.8355288822428368,96.3791
HYPER TRADING LTD,26,0.0,0.0769,0.0,0.0,0.0,1.0,0.9230769230769231,1.0,19.581769779263727,0.9298614177124654,96.6402
JANDEE GENERAL STORES LIMITED,25,0.0,0.08,0.0,0.0,0.0,1.0,0.92,1.0,6.144850674288258,0.9954169904702457,97.5313
JANDEE GENERAL STORES LIMITED CONSIGNMENT,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.08965871052092,0.9517773726796988,99.2767
JETLAK FOODS LTD,356,0.0,0.0393,0.0,0.0,0.0,1.0,0.9606741573033708,1.0,34.174394109155635,0.8586674305706541,96.7002
JOMU SPICE FIRM LTD,56,0.0,0.0357,0.0,0.0,0.0,1.0,0.9642857142857143,1.0,11.762400285312646,0.9680102851556629,98.4487
JOY SUPER BAKERS LIMITED,26,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.130879125142467,0.9515762679570523,99.2736
JUMBO SPICES LIMITED,247,0.0,0.0567,0.0,0.0,0.0,1.0,0.9433198380566802,1.0,17.10426926766252,0.9419485608869429,97.4288
KALON FOODS LIMITED,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
KAMILI PACKERS LTD,22,0.0,0.0909,0.0,0.0,0.0,1.0,0.9090909090909091,1.0,12.740004760102966,0.9632407825059285,96.7213
KAPA OIL REFINERIES LTD,985,0.002,0.0325,0.0,0.002,0.0,0.9979695431472081,0.9675126903553299,0.9979695431472081,77.81561868484583,0.645752144666244,93.6
KAPA OIL REFINERIES LTD - WHOLESALE,10,0.1,0.0,0.0,0.1,0.0,0.9,1.0,0.9,210.17537033868143,0.0,79.5
KAPUTEI FARM PRODUCTS LIMITED,48,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40.40174031940019,0.8282856708544398,97.4243
KENAFRIC BEVERAGE AND BOTTLING LIMITED,121,0.0,0.0661,0.0,0.0,0.0,1.0,0.9338842975206612,1.0,7.820158710866036,0.9872435559927767,97.8252
KENAFRIC INDUSTRIES LIMITED,441,0.0023,0.0408,0.0,0.0023,0.0,0.9977324263038548,0.9591836734693877,0.9977324263038548,11.389125810747586,0.9698314036564739,98.1983
KENSALT LIMITED,103,0.0,0.0194,0.0,0.0,0.0,1.0,0.9805825242718447,1.0,29.051575362955425,0.8836604601794352,97.6724
KENYA BREWERIES LIMITED,11,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.02366118083886,0.9423418288123766,99.1351
KENYA NUT COMPANY LTD,19,0.0,0.1053,0.0,0.0,0.0,1.0,0.8947368421052632,1.0,39.12782727416261,0.8345007934336355,94.3596
KEVIAN KENYA LTD,1022,0.0029,0.0489,0.001,0.002,0.0,0.99706457925636,0.9510763209393347,0.9980430528375734,15.781339945554878,0.9484028223698981,97.6213
KHETIA DRAPERS LIMITED - DISTRIBUTION UNIT,10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.819808452589852,0.9823664996628322,99.7355
KIKKOMAN EAST AFRICA LTD,21,0.0,0.1905,0.0,0.0,0.0,1.0,0.8095238095238095,1.0,13.131257090876538,0.9613319542666351,93.7057
KIM-FAY EAST AFRICA LIMITED,74,0.0,0.027,0.0,0.0,0.0,1.0,0.972972972972973,1.0,109.2661157595938,0.49231255534189056,91.5739
KRISH COMMODITIES LTD,29,0.0345,0.069,0.0,0.0345,0.0,0.9655172413793104,0.9310344827586207,0.9655172413793104,23.332386293885616,0.9115630405405895,94.7079
KUDOS INVESTMENTS LIMITED,64,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.240729588579672,0.9803129242903756,99.7047
L.G HARRIS & CO EA LTD,31,0.0,0.0645,0.0,0.0,0.0,1.0,0.935483870967742,1.0,10.12531769124521,0.9759972266760703,97.7045
LACOROMBE SUPPLIES LIMITED,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,
MALIMOUNT COMPANY LIMITED,44,0.0227,0.0,0.0,0.0227,0.0,0.9772727272727273,1.0,0.9772727272727273,25.73043834375294,0.8998635077530616,97.248
